$version=1
MOD: 01/08/2021
!Num ...Nombre... #Uni Tipo .PotIns .GerMin .GerMax ..Teif. ..Ih... .CVaria .MR. Comb ...G1.. .CEsp.1 ...G2.. .CEsp.2 ...G3.. .CEsp.3 NAdF ...1 ...2 ...3 ComT CTransp StartUp sfal NGas NuCC ..NombreCC.. CoefE.
 144 PETROLINA       1                    0 132.005    5.31 28.9825       0               100                                                                        0                                           
 151 POTIGUAR        1                    0   53.12    5.85    5.85       0               100                                                                        0                                           
 161 POTIGUAR III    1                    0   54.78    3.35    3.35       0               100                                                                        0                                           
 147 PROSPERIDADE    1                    0   28.02    3.86 4.92715       0               100                                                                        0                                           
 170 SUAPE II        1                    0  381.26    9.23 9.41154       0               100                                                                        0                                           
MOD: 01/10/2022
!Num ...Nombre... #Uni Tipo .PotIns .GerMin .GerMax ..Teif. ..Ih... .CVaria .MR. Comb ...G1.. .CEsp.1 ...G2.. .CEsp.2 ...G3.. .CEsp.3 NAdF ...1 ...2 ...3 ComT CTransp StartUp sfal NGas NuCC ..NombreCC.. CoefE.
 106 ERB CANDEIAS    1                    0 12.8998       3       3       0               100                                                                        0                                           
  53 GLOBAL I        1                    0   148.8   15.95 17.8495       0               100                                                                        0                                           
  55 GLOBAL II       1                    0   148.8   17.59 19.4525       0               100                                                                        0                                           
 167 P. PECEM I      1                    0  720.28    4.85 23.2615       0               100                                                                        0                                           
 144 PETROLINA       1                    0 132.005    5.31 28.2155       0               100                                                                        0                                           
 151 POTIGUAR        1                    0   53.12    5.85 8.89105       0               100                                                                        0                                           
 161 POTIGUAR III    1                    0   54.78    3.35  6.4718       0               100                                                                        0                                           
 147 PROSPERIDADE    1                    0   28.02    3.86 4.89831       0               100                                                                        0                                           
 170 SUAPE II        1                    0  381.26    9.23    9.23       0               100                                                                        0                                           
MOD: 01/11/2022
!Num ...Nombre... #Uni Tipo .PotIns .GerMin .GerMax ..Teif. ..Ih... .CVaria .MR. Comb ...G1.. .CEsp.1 ...G2.. .CEsp.2 ...G3.. .CEsp.3 NAdF ...1 ...2 ...3 ComT CTransp StartUp sfal NGas NuCC ..NombreCC.. CoefE.
  53 GLOBAL I        1                    0   148.8   15.95 29.0282       0               100                                                                        0                                           
  55 GLOBAL II       1                    0   148.8   17.59 21.4385       0               100                                                                        0                                           
 167 P. PECEM I      1                    0  720.28    4.85    4.85       0               100                                                                        0                                           
 144 PETROLINA       1                    0 132.005    5.31 28.9825       0               100                                                                        0                                           
 151 POTIGUAR        1                    0   53.12    5.85    5.85       0               100                                                                        0                                           
 161 POTIGUAR III    1                    0   54.78    3.35    3.35       0               100                                                                        0                                           
 147 PROSPERIDADE    1                    0   28.02    3.86 4.92715       0               100                                                                        0                                           
 170 SUAPE II        1                    0  381.26    9.23 9.41154       0               100                                                                        0                                           
MOD: 01/12/2022
!Num ...Nombre... #Uni Tipo .PotIns .GerMin .GerMax ..Teif. ..Ih... .CVaria .MR. Comb ...G1.. .CEsp.1 ...G2.. .CEsp.2 ...G3.. .CEsp.3 NAdF ...1 ...2 ...3 ComT CTransp StartUp sfal NGas NuCC ..NombreCC.. CoefE.
  53 GLOBAL I        1                    0   148.8   15.95   15.95       0               100                                                                        0                                           
  55 GLOBAL II       1                    0   148.8   17.59 29.9927       0               100                                                                        0                                           
 144 PETROLINA       1                    0 132.005    5.31 28.2155       0               100                                                                        0                                           
 151 POTIGUAR        1                    0   53.12    5.85 8.89105       0               100                                                                        0                                           
 161 POTIGUAR III    1                    0   54.78    3.35  6.4718       0               100                                                                        0                                           
 147 PROSPERIDADE    1                    0   28.02    3.86    3.86       0               100                                                                        0                                           
 170 SUAPE II        1                    0  381.26    9.23    9.23       0               100                                                                        0                                           
MOD: 01/01/2023
!Num ...Nombre... #Uni Tipo .PotIns .GerMin .GerMax ..Teif. ..Ih... .CVaria .MR. Comb ...G1.. .CEsp.1 ...G2.. .CEsp.2 ...G3.. .CEsp.3 NAdF ...1 ...2 ...3 ComT CTransp StartUp sfal NGas NuCC ..NombreCC.. CoefE.
 144 PETROLINA       1                    0 132.005    5.31 24.9771       0               100                                                                        0                                           
 151 POTIGUAR        1                    0   53.12    5.85    5.85       0               100                                                                        0                                           
 161 POTIGUAR III    1                    0   54.78    3.35    3.35       0               100                                                                        0                                           
 147 PROSPERIDADE    1                    0   28.02    3.86 4.89831       0               100                                                                        0                                           
 170 SUAPE II        1                    0  381.26    9.23 9.74739       0               100                                                                        0                                           
MOD: 01/02/2023
!Num ...Nombre... #Uni Tipo .PotIns .GerMin .GerMax ..Teif. ..Ih... .CVaria .MR. Comb ...G1.. .CEsp.1 ...G2.. .CEsp.2 ...G3.. .CEsp.3 NAdF ...1 ...2 ...3 ComT CTransp StartUp sfal NGas NuCC ..NombreCC.. CoefE.
  53 GLOBAL I        1                    0   148.8   15.95 20.1525       0               100                                                                        0                                           
  55 GLOBAL II       1                    0   148.8   17.59 19.6503       0               100                                                                        0                                           
 151 POTIGUAR        1                    0   53.12    5.85 9.21116       0               100                                                                        0                                           
 161 POTIGUAR III    1                    0   54.78    3.35 6.80041       0               100                                                                        0                                           
 147 PROSPERIDADE    1                    0   28.02    3.86 5.00407       0               100                                                                        0                                           
 170 SUAPE II        1                    0  381.26    9.23 9.42062       0               100                                                                        0                                           
MOD: 01/03/2023
!Num ...Nombre... #Uni Tipo .PotIns .GerMin .GerMax ..Teif. ..Ih... .CVaria .MR. Comb ...G1.. .CEsp.1 ...G2.. .CEsp.2 ...G3.. .CEsp.3 NAdF ...1 ...2 ...3 ComT CTransp StartUp sfal NGas NuCC ..NombreCC.. CoefE.
 106 ERB CANDEIAS    1                    0 12.8998       3 18.6461       0               100                                                                        0                                           
  53 GLOBAL I        1                    0   148.8   15.95   15.95       0               100                                                                        0                                           
  55 GLOBAL II       1                    0   148.8   17.59   17.59       0               100                                                                        0                                           
 151 POTIGUAR        1                    0   53.12    5.85    5.85       0               100                                                                        0                                           
 161 POTIGUAR III    1                    0   54.78    3.35    3.35       0               100                                                                        0                                           
 147 PROSPERIDADE    1                    0   28.02    3.86 4.89831       0               100                                                                        0                                           
 170 SUAPE II        1                    0  381.26    9.23 9.40247       0               100                                                                        0                                           
MOD: 01/04/2023
!Num ...Nombre... #Uni Tipo .PotIns .GerMin .GerMax ..Teif. ..Ih... .CVaria .MR. Comb ...G1.. .CEsp.1 ...G2.. .CEsp.2 ...G3.. .CEsp.3 NAdF ...1 ...2 ...3 ComT CTransp StartUp sfal NGas NuCC ..NombreCC.. CoefE.
 235 CAMACARI MII    1                    0     144       3    3.97       0               100                                                                        0                                           
 106 ERB CANDEIAS    1                    0 12.8998       3       3       0               100                                                                        0                                           
 162 PECEM II        1                    0     144       3    3.97       0               100                                                                        0                                           
 151 POTIGUAR        1                    0   53.12    5.85 8.98519       0               100                                                                        0                                           
 161 POTIGUAR III    1                    0   54.78    3.35 6.56844       0               100                                                                        0                                           
 147 PROSPERIDADE    1                    0   28.02    3.86    3.86       0               100                                                                        0                                           
 170 SUAPE II        1                    0  381.26    9.23 9.76555       0               100                                                                        0                                           
  96 TERMOPE         1                348.8  532.76    2.67 22.4572       0               100                                                                        0                                           
MOD: 01/05/2023
!Num ...Nombre... #Uni Tipo .PotIns .GerMin .GerMax ..Teif. ..Ih... .CVaria .MR. Comb ...G1.. .CEsp.1 ...G2.. .CEsp.2 ...G3.. .CEsp.3 NAdF ...1 ...2 ...3 ComT CTransp StartUp sfal NGas NuCC ..NombreCC.. CoefE.
 167 P. PECEM I      1                    0  720.28    4.85 23.2615       0               100                                                                        0                                           
 151 POTIGUAR        1                    0   53.12    5.85    5.85       0               100                                                                        0                                           
 161 POTIGUAR III    1                    0   54.78    3.35    3.35       0               100                                                                        0                                           
 170 SUAPE II        1                    0  381.26    9.23 9.74739       0               100                                                                        0                                           
  96 TERMOPE         1               202.23  532.76    2.67 62.0413       0               100                                                                        0                                           
MOD: 01/06/2023
!Num ...Nombre... #Uni Tipo .PotIns .GerMin .GerMax ..Teif. ..Ih... .CVaria .MR. Comb ...G1.. .CEsp.1 ...G2.. .CEsp.2 ...G3.. .CEsp.3 NAdF ...1 ...2 ...3 ComT CTransp StartUp sfal NGas NuCC ..NombreCC.. CoefE.
 167 P. PECEM I      1                    0  720.28    4.85    4.85       0               100                                                                        0                                           
 151 POTIGUAR        1                    0   53.12    5.85 8.98519       0               100                                                                        0                                           
 161 POTIGUAR III    1                    0   54.78    3.35 6.56844       0               100                                                                        0                                           
 170 SUAPE II        1                    0  381.26    9.23 9.41154       0               100                                                                        0                                           
  96 TERMOPE         1                348.8  532.76    2.67 10.5829       0               100                                                                        0                                           
MOD: 01/07/2023
