**** Planta:   48                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2022   3  175.88       0       0  175.88  175.88  175.88  175.88  175.88  175.88  175.88  175.88  175.88
2023   1  175.88       0       0  175.88  175.88  175.88  175.88  175.88  175.88  175.88  175.88  175.88
2023   2  175.88       0       0  175.88  175.88  175.88  175.88  175.88  175.88  175.88  175.88  175.88
2023   3  175.88       0       0  175.88  175.88  175.88  175.88  175.88  175.88  175.88  175.88  175.88
2024   1  175.88       0       0  175.88  175.88  175.88  175.88  175.88  175.88  175.88  175.88  175.88
2024   2  175.88       0       0  175.88  175.88  175.88  175.88  175.88  175.88  175.88  175.88  175.88
2024   3  175.88       0       0  175.88  175.88  175.88  175.88  175.88  175.88  175.88  175.88  175.88
2025   1  175.88       0       0  175.88  175.88  175.88  175.88  175.88  175.88  175.88  175.88  175.88
2025   2  175.88       0       0  175.88  175.88  175.88  175.88  175.88  175.88  175.88  175.88  175.88
2025   3  175.88       0       0  175.88  175.88  175.88  175.88  175.88  175.88  175.88  175.88  175.88
**** Planta:   24                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                             289     289     289     289     289
2021   2                                                             289     289     289     289     289
2021   3                                                             289     289     289     289     289
2022   1  242.05       0       0  242.05  242.05  242.05  242.05  242.05  242.05  242.05  242.05  242.05
2022   2  242.05       0       0  242.05  242.05  242.05  242.05  242.05  242.05  242.05  242.05  242.05
2022   3  242.05       0       0  242.05  242.05  242.05  242.05  242.05  242.05  242.05  242.05  242.05
2023   1  242.05       0       0  242.05  242.05  242.05  242.05  242.05  242.05  242.05  242.05  242.05
2023   2  242.05       0       0  242.05  242.05  242.05  242.05  242.05  242.05  242.05  242.05  242.05
2023   3  242.05       0       0  242.05  242.05  242.05  242.05  242.05  242.05  242.05  242.05  242.05
2024   1  242.05       0       0  242.05  242.05  242.05  242.05  242.05  242.05  242.05  242.05  242.05
2024   2  242.05       0       0  242.05  242.05  242.05  242.05  242.05  242.05  242.05  242.05  242.05
2024   3  242.05       0       0  242.05  242.05  242.05  242.05  242.05  242.05  242.05  242.05  242.05
2025   1  242.05       0       0  242.05  242.05  242.05  242.05  242.05  242.05  242.05  242.05  242.05
2025   2  242.05       0       0  242.05  242.05  242.05  242.05  242.05  242.05  242.05  242.05  242.05
2025   3  242.05       0       0  242.05  242.05  242.05  242.05  242.05  242.05  242.05  242.05  242.05
**** Planta:  107                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                             170   26.87   155.8     170     170
2021   2                                                             170   26.87   155.8     170     170
2021   3                                                             170   26.87   155.8     170     170
2022   1     170     170     170     170     170     170     170     170     170     170     170     170
2022   2     170     170     170     170     170     170     170     170     170     170     170     170
2022   3     170     170     170     170     170     170     170     170     170     170     170     170
2023   1     170     170     170     170     170     170     170     170     170     170     170     170
2023   2     170     170     170     170     170     170     170     170     170     170     170     170
2023   3     170     170     170     170     170     170     170     170     170     170     170     170
2024   1     170     170     170     170     170     170     170     170     170     170     170     170
2024   2     170     170     170     170     170     170     170     170     170     170     170     170
2024   3     170     170     170     170     170     170     170     170     170     170     170     170
2025   1     170     170     170     170     170     170     170     170     170     170     170     170
2025   2     170     170     170     170     170     170     170     170     170     170     170     170
2025   3     170     170     170     170     170     170     170     170     170     170     170     170
**** Planta:  149                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                               0       0       0       0       0
2021   2                                                               0       0       0       0       0
2021   3                                                               0       0       0       0       0
2022   1       0       0       0       0       0       0       0       0       0       0       0       0
2022   2       0       0       0       0       0       0       0       0       0       0       0       0
2022   3       0       0       0       0       0       0       0       0       0       0       0       0
2023   1       0       0       0       0       0       0       0       0       0       0       0       0
2023   2       0       0       0       0       0       0       0       0       0       0       0       0
2023   3       0       0       0       0       0       0       0       0       0       0       0       0
2024   1       0       0       0       0       0       0       0       0       0       0       0       0
2024   2       0       0       0       0       0       0       0       0       0       0       0       0
2024   3       0       0       0       0       0       0       0       0       0       0       0       0
2025   1       0       0       0       0       0       0       0       0       0       0       0       0
2025   2       0       0       0       0       0       0       0       0       0       0       0       0
2025   3       0       0       0       0       0       0       0       0       0       0       0       0
**** Planta:   35                                0
