**** Planta:    1                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2023   3       0       0       0       0       0       0       0       0       0       0  420.83  420.83
2024   1  420.83  420.83  420.83  420.83       0       0       0       0       0       0  420.83  420.83
2024   2  420.83  420.83  420.83  420.83       0       0       0       0       0       0  420.83  420.83
2024   3  420.83  420.83  420.83  420.83       0       0       0       0       0       0  420.83  420.83
2025   1  420.83  420.83  420.83  420.83       0       0       0       0       0       0  420.83  420.83
2025   2  420.83  420.83  420.83  420.83       0       0       0       0       0       0  420.83  420.83
2025   3  420.83  420.83  420.83  420.83       0       0       0       0       0       0  420.83  420.83
**** Planta:  110                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                               0       0       0       0       0
2021   2                                                               0       0       0       0       0
2021   3                                                               0       0       0       0       0
2022   1       0       0       0       0       0       0       0       0       0       0       0       0
2022   2       0       0       0       0       0       0       0       0       0       0       0       0
2022   3       0       0       0       0       0       0       0       0       0       0       0       0
2023   1       0       0       0       0       0       0       0       0       0       0       0       0
2023   2       0       0       0       0       0       0       0       0       0       0       0       0
2023   3       0       0       0       0       0       0       0       0       0       0       0       0
2024   1       0       0       0       0       0       0       0       0       0       0       0       0
2024   2       0       0       0       0       0       0       0       0       0       0       0       0
2024   3       0       0       0       0       0       0       0       0       0       0       0       0
2025   1       0       0       0       0       0       0       0       0       0       0       0       0
2025   2       0       0       0       0       0       0       0       0       0       0       0       0
2025   3       0       0       0       0       0       0       0       0       0       0       0       0
**** Planta:  171                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                          194.38  359.99     400     400     400
2021   2                                                          194.38  359.99     400     400     400
2021   3                                                          194.38  359.99     400     400     400
2022   1     400     400     400     400     400     400     400     400     400     400     400     400
2022   2     400     400     400     400     400     400     400     400     400     400     400     400
2022   3     400     400     400     400     400     400     400     400     400     400     400     400
2023   1     400     400     400     400     400     400     400     400     400     400     400     400
2023   2     400     400     400     400     400     400     400     400     400     400     400     400
2023   3     400     400     400     400     400     400     400     400     400     400     400     400
2024   1     400     400     400     400     400     400     400     400     400     400     400     400
2024   2     400     400     400     400     400     400     400     400     400     400     400     400
2024   3     400     400     400     400     400     400     400     400     400     400     400     400
2025   1     400     400     400     400     400     400     400     400     400     400     400     400
2025   2     400     400     400     400     400     400     400     400     400     400     400     400
2025   3     400     400     400     400     400     400     400     400     400     400     400     400
