& Caso de Calculo de Garantia Fisica para Desestatizacao da Eletrobras
&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
& Cadastro das familias de curvas de jusante
&
& Usina: codigo da usina hidraulica
& Indice: indice da familia (sequencial)
& HjusRef: nivel de montante da usina de jusante para referencia da familia
& nPol: quantidade de polinomios da familia
&
&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&
&         Usina    Indice   HjusRef    nPol
&XXXXXXX   XXXX     XXX    XXXXXXXXXX  XXX
PPPJUS     0007     001                4332.0090           13081.8800           620.810300         1.156440D-03        -1.888075D-15         0.000000D+00         0.000000D+00
PPPJUS     0007     002                   0.0000            1319.2440           619.465300         1.710331D-05        -2.809288D-07         1.586390D-09        -5.900055D-13
PPPJUS     0007     002                1319.2440            4332.0090           617.746700         2.570832D-03        -1.632490D-07         0.000000D+00         0.000000D+00
PPPJUS     0007     002                4332.0090           13081.8800           620.810300         1.156440D-03        -1.888075D-15         0.000000D+00         0.000000D+00
PPPJUS     0007     003                   0.0000            3076.1550           620.719900        -1.357646D-17         7.754831D-07        -2.038505D-10         2.217891D-14
PPPJUS     0007     003                3076.1550            4332.0090           617.746700         2.570832D-03        -1.632490D-07         0.000000D+00         0.000000D+00
PPPJUS     0007     003                4332.0090           13081.8800           620.810300         1.156440D-03        -1.888075D-15         0.000000D+00         0.000000D+00
PPPJUS     0007     004                   0.0000            3442.6390           621.567700        -1.304012D-18         5.457226D-07        -1.357205D-10         1.540971D-14
PPPJUS     0007     004                3442.6390            4332.0090           617.746700         2.570832D-03        -1.632490D-07         0.000000D+00         0.000000D+00
PPPJUS     0007     004                4332.0090           13081.8800           620.810300         1.156440D-03        -1.888075D-15         0.000000D+00         0.000000D+00
PPPJUS     0007     005                   0.0000            3442.6000           622.200000        -2.263245D-17         2.777990D-07        -4.206250D-11         6.309070D-15
PPPJUS     0007     005                3442.6000            4332.0090           617.746700         2.570832D-03        -1.632490D-07         0.000000D+00         0.000000D+00
PPPJUS     0007     005                4332.0090           13081.8800           620.810300         1.156440D-03        -1.888075D-15         0.000000D+00         0.000000D+00
PPPJUS     0008     001                   0.0000            4190.5660           556.253700         2.303161D-03        -4.983769D-07         4.811323D-11         0.000000D+00
PPPJUS     0008     001                4190.5660           11989.4200           557.014000         1.167569D-03        -8.899591D-08         5.402918D-12        -1.542239D-16
PPPJUS     0008     002                   0.0000             869.4284           557.100000         8.443743D-18         7.312170D-07         1.209543D-09        -9.390976D-13
PPPJUS     0008     002                 869.4284            4190.5660           556.253700         2.303161D-03        -4.983769D-07         4.811323D-11         0.000000D+00
PPPJUS     0008     002                4190.5660           11989.4200           557.014000         1.167569D-03        -8.899591D-08         5.402918D-12        -1.542239D-16
PPPJUS     0008     003                   0.0000            1090.0080           557.400000         2.427888D-18         5.148083D-08         1.314244D-09        -6.579776D-13
PPPJUS     0008     003                1090.0080            4190.5660           556.253700         2.303161D-03        -4.983769D-07         4.811323D-11         0.000000D+00
PPPJUS     0008     003                4190.5660           11989.4200           557.014000         1.167569D-03        -8.899591D-08         5.402918D-12        -1.542239D-16
PPPJUS     0008     004                   0.0000            4378.8740           558.000000         4.078001D-19         6.713303D-07        -2.061640D-10         1.973229D-14
PPPJUS     0008     004                4378.8740           11989.4200           557.014000         1.167569D-03        -8.899591D-08         5.402918D-12        -1.542239D-16
PPPJUS     0008     005                   0.0000            4600.0000           558.500000        -8.498396D-18         4.710872D-07        -1.336426D-10         1.228058D-14
PPPJUS     0008     005                4600.0000           11989.4200           557.014000         1.167569D-03        -8.899591D-08         5.402918D-12        -1.542239D-16
PPPJUS     0012     001                   0.0000            1886.1570           442.595400         1.135962D-03        -4.253471D-07         3.178497D-10        -9.817180D-14
PPPJUS     0012     001                1886.1570            6457.0750           443.446800         5.967521D-05         1.916091D-07        -1.876512D-11         0.000000D+00
PPPJUS     0012     001                6457.0750           14996.1000           445.198000         2.920099D-04        -5.574071D-09        -4.260293D-13         1.879357D-17
PPPJUS     0012     002                   0.0000            5732.9810           444.000000         2.155575D-04         8.673328D-08        -8.150442D-12         0.000000D+00
PPPJUS     0012     002                5732.9810            6457.0750           443.446800         5.967521D-05         1.916091D-07        -1.876512D-11         0.000000D+00
PPPJUS     0012     002                6457.0750           14996.1000           445.198000         2.920099D-04        -5.574071D-09        -4.260293D-13         1.879357D-17
PPPJUS     0012     003                   0.0000            5552.4790           444.700000         1.618393D-04         6.673100D-09         8.623938D-12        -8.494898D-16
PPPJUS     0012     003                5552.4790            6457.0750           443.446800         5.967521D-05         1.916091D-07        -1.876512D-11         0.000000D+00
PPPJUS     0012     003                6457.0750           14996.1000           445.198000         2.920099D-04        -5.574071D-09        -4.260293D-13         1.879357D-17
PPPJUS     0012     004                   0.0000            6544.5360           445.500000        -1.308991D-19         8.619232D-08        -1.232621D-11         5.717203D-16
PPPJUS     0012     004                6544.5360           14996.1000           445.198000         2.920099D-04        -5.574071D-09        -4.260293D-13         1.879357D-17
PPPJUS     0012     005                   0.0000            8900.0000           446.300000        -7.192780D-18         1.874095D-08        -1.083319D-12         2.425275D-17
PPPJUS     0012     005                8900.0000           14996.1000           445.198000         2.920099D-04        -5.574071D-09        -4.260293D-13         1.879357D-17
PPPJUS     0017     001                   0.0000            7382.6960           379.335800         1.989351D-03        -7.312511D-08         9.811648D-13         0.000000D+00
PPPJUS     0017     001                7382.6960           19736.5100           383.569500         6.346778D-04         6.433228D-08        -3.778948D-12         6.424129D-17
PPPJUS     0017     002                   0.0000            3196.2960           381.000000         5.828015D-05         1.036255D-06        -3.299914D-10         3.815121D-14
PPPJUS     0017     002                3196.2960            7382.6960           379.335800         1.989351D-03        -7.312511D-08         9.811648D-13         0.000000D+00
PPPJUS     0017     002                7382.6960           19736.5100           383.569500         6.346778D-04         6.433228D-08        -3.778948D-12         6.424129D-17
PPPJUS     0017     003                   0.0000            7444.8380           382.200000         5.378216D-19         4.698409D-07        -6.508757D-11         2.966923D-15
PPPJUS     0017     003                7444.8380           19736.5100           383.569500         6.346778D-04         6.433228D-08        -3.778948D-12         6.424129D-17
PPPJUS     0017     004                   0.0000            9230.9820           383.300000        -3.333814D-18         3.132898D-07        -3.400329D-11         1.260804D-15
PPPJUS     0017     004                9230.9820           19736.5100           383.569500         6.346778D-04         6.433228D-08        -3.778948D-12         6.424129D-17
PPPJUS     0030     001                   0.0000            2462.5870           514.714300         6.508578D-03        -4.086577D-06         1.755352D-09        -2.815300D-13
PPPJUS     0030     001                2462.5870            7102.6610           516.057100         3.449783D-03        -5.724431D-07         5.484761D-11        -2.160504D-15
PPPJUS     0030     002                   0.0000            1127.4420           516.314700         2.210330D-18         1.253788D-05        -1.684105D-08         6.685336D-12
PPPJUS     0030     002                1127.4420            2462.5870           514.714300         6.508578D-03        -4.086577D-06         1.755352D-09        -2.815300D-13
PPPJUS     0030     002                2462.5870            7102.6610           516.057100         3.449783D-03        -5.724431D-07         5.484761D-11        -2.160504D-15
PPPJUS     0030     003                   0.0000            2005.6320           517.640500         3.305590D-18         4.129055D-06        -3.033974D-09         6.899141D-13
PPPJUS     0030     003                2005.6320            2462.5870           514.714300         6.508578D-03        -4.086577D-06         1.755352D-09        -2.815300D-13
PPPJUS     0030     003                2462.5870            7102.6610           516.057100         3.449783D-03        -5.724431D-07         5.484761D-11        -2.160504D-15
PPPJUS     0030     004                   0.0000            2373.6320           518.552400         7.916525D-04         1.050272D-06        -6.768117D-10         1.379671D-13
PPPJUS     0030     004                2373.6320            2462.5870           514.714300         6.508578D-03        -4.086577D-06         1.755352D-09        -2.815300D-13
PPPJUS     0030     004                2462.5870            7102.6610           516.057100         3.449783D-03        -5.724431D-07         5.484761D-11        -2.160504D-15
PPPJUS     0030     005                   0.0000            2373.6000           519.887500        -3.774962D-17         1.269335D-06        -8.392142D-10         1.846431D-13
PPPJUS     0030     005                2373.6000            2462.5870           514.714300         6.508578D-03        -4.086577D-06         1.755352D-09        -2.815300D-13
PPPJUS     0030     005                2462.5870            7102.6610           516.057100         3.449783D-03        -5.724431D-07         5.484761D-11        -2.160504D-15
PPPJUS     0031     001                   0.0000            7328.0050           432.111500         3.174723D-03        -7.080179D-07         1.011982D-10        -5.408472D-15
PPPJUS     0031     001                7328.0050           19747.9100           436.267400         8.497187D-04        -1.418843D-08        -5.206503D-13         1.896291D-17
PPPJUS     0031     002                   0.0000            3033.1620           432.700000         1.683502D-03         6.004259D-07        -3.596476D-10         5.079247D-14
PPPJUS     0031     002                3033.1620            7328.0050           432.111500         3.174723D-03        -7.080179D-07         1.011982D-10        -5.408472D-15
PPPJUS     0031     002                7328.0050           19747.9100           436.267400         8.497187D-04        -1.418843D-08        -5.206503D-13         1.896291D-17
PPPJUS     0031     003                   0.0000            1088.8050           433.200000         2.597489D-16         3.805635D-06        -3.528957D-09         1.206336D-12
PPPJUS     0031     003                1088.8050            7328.0050           432.111500         3.174723D-03        -7.080179D-07         1.011982D-10        -5.408472D-15
PPPJUS     0031     003                7328.0050           19747.9100           436.267400         8.497187D-04        -1.418843D-08        -5.206503D-13         1.896291D-17
PPPJUS     0031     004                   0.0000            3035.6280           433.600000         1.243821D-18         1.707588D-06        -6.695978D-10         8.233284D-14
PPPJUS     0031     004                3035.6280            7328.0050           432.111500         3.174723D-03        -7.080179D-07         1.011982D-10        -5.408472D-15
